lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
[light blue grommet 95 inch black out],[grayish grommet 95 inch black out],[gold grommet 95 inch black out],[navy grommet 95 inch black out],[bluish grommet 95 inch black out],[light gray grommet 95 inch black out],[dark grey grommet 95 inch black out],[burlap grommet 95 inch black out],[natural grommet 95 inch black out],[black grommet 95 inch black out],[pink grommet 95 inch black out],[white grommet 95 inch black out],[black and white grommet 95 inch black out],[teal grommet 95 inch black out]
[light blue grommet 95 inch sun block],[grey grommet 95 inch black out],[yellow grommet 95 inch black out],[navy grommet 95 inch sun block],[blue grommet 95 inch black out],[silver grommet 95 inch black out],[charcoal grommet 95 inch black out],[sand grommet 95 inch black out],[neutral grommet 95 inch black out],[black grommet 95 inch sun block],[light pink grommet 95 inch black out],[white grommet 95 inch sun block],[black and white grommet 95 inch sun block],[dark teal grommet 95 inch black out]
[light blue grommet 95 inch sun blocking],[gray grommet 95 inch black out],[mustard grommet 95 inch black out],[navy grommet 95 inch sun blocking],[indigo grommet 95 inch black out],[light grey grommet 95 inch black out],[black grey grommet 95 inch black out],[taupe grommet 95 inch black out],[greige grommet 95 inch black out],[black grommet 95 inch sun blocking],[dark pink grommet 95 inch black out],[white grommet 95 inch sun blocking],[black and white grommet 95 inch sun blocking],[light teal grommet 95 inch black out]
[light blue grommet 96 inch black out],[grayish grommet 95 inch sun block],[gold grommet 95 inch sun block],[navy grommet 96 inch black out],[denim grommet 95 inch black out],[light gray grommet 95 inch sun block],[dark grey grommet 95 inch sun block],[tan grommet 95 inch black out],[ivory grommet 95 inch black out],[black grommet 96 inch black out],[pink grommet 95 inch sun block],[white grommet 96 inch black out],[black and white grommet 96 inch black out],[teal grommet 95 inch sun block]
[light blue grommet 96 inch sun block],[grey grommet 95 inch sun block],[yellow grommet 95 inch sun block],[navy grommet 96 inch sun block],[bluish grommet 95 inch sun block],[silver grommet 95 inch sun block],[charcoal grommet 95 inch sun block],[beige grommet 95 inch black out],[cream grommet 95 inch black out],[black grommet 96 inch sun block],[light pink grommet 95 inch sun block],[white grommet 96 inch sun block],[black and white grommet 96 inch sun block],[dark teal grommet 95 inch sun block]
[light blue grommet 96 inch sun blocking],[gray grommet 95 inch sun block],[mustard grommet 95 inch sun block],[navy grommet 96 inch sun blocking],[blue grommet 95 inch sun block],[light grey grommet 95 inch sun block],[black grey grommet 95 inch sun block],[light brown grommet 95 inch black out],[off white grommet 95 inch black out],[black grommet 96 inch sun blocking],[dark pink grommet 95 inch sun block],[white grommet 96 inch sun blocking],[black and white grommet 96 inch sun blocking],[light teal grommet 95 inch sun block]
[light blue grommet 97 inch black out],[grayish grommet 95 inch sun blocking],[gold grommet 95 inch sun blocking],[navy grommet 97 inch black out],[indigo grommet 95 inch sun block],[light gray grommet 95 inch sun blocking],[dark grey grommet 95 inch sun blocking],[burlap grommet 95 inch sun block],[natural grommet 95 inch sun block],[black grommet 97 inch black out],[pink grommet 95 inch sun blocking],[white grommet 97 inch black out],[black and white grommet 97 inch black out],[teal grommet 95 inch sun blocking]
[light blue grommet 97 inch sun block],[grey grommet 95 inch sun blocking],[yellow grommet 95 inch sun blocking],[navy grommet 97 inch sun block],[denim grommet 95 inch sun block],[silver grommet 95 inch sun blocking],[charcoal grommet 95 inch sun blocking],[sand grommet 95 inch sun block],[neutral grommet 95 inch sun block],[black grommet 97 inch sun block],[light pink grommet 95 inch sun blocking],[white grommet 97 inch sun block],[black and white grommet 97 inch sun block],[dark teal grommet 95 inch sun blocking]
[light blue grommet 97 inch sun blocking],[gray grommet 95 inch sun blocking],[mustard grommet 95 inch sun blocking],[navy grommet 97 inch sun blocking],[bluish grommet 95 inch sun blocking],[light grey grommet 95 inch sun blocking],[black grey grommet 95 inch sun blocking],[taupe grommet 95 inch sun block],[greige grommet 95 inch sun block],[black grommet 97 inch sun blocking],[dark pink grommet 95 inch sun blocking],[white grommet 97 inch sun blocking],[black and white grommet 97 inch sun blocking],[light teal grommet 95 inch sun blocking]
[coastal 95 inch black out],[grayish grommet 96 inch black out],[gold grommet 96 inch black out],[navy boho 95 inch black out],[blue grommet 95 inch sun blocking],[light gray grommet 96 inch black out],[dark grey grommet 96 inch black out],[tan grommet 95 inch sun block],[ivory grommet 95 inch sun block],[black boho 95 inch black out],[pink grommet 96 inch black out],[white boho 95 inch black out],[black and white boho 95 inch black out],[teal grommet 96 inch black out]
[coastal 95 inch sun block],[grey grommet 96 inch black out],[yellow grommet 96 inch black out],[navy boho 95 inch sun block],[indigo grommet 95 inch sun blocking],[silver grommet 96 inch black out],[charcoal grommet 96 inch black out],[beige grommet 95 inch sun block],[cream grommet 95 inch sun block],[black boho 95 inch sun block],[light pink grommet 96 inch black out],[white boho 95 inch sun block],[black and white boho 95 inch sun block],[dark teal grommet 96 inch black out]
[coastal 95 inch sun blocking],[gray grommet 96 inch black out],[mustard grommet 96 inch black out],[navy boho 95 inch sun blocking],[denim grommet 95 inch sun blocking],[light grey grommet 96 inch black out],[black grey grommet 96 inch black out],[light brown grommet 95 inch sun block],[off white grommet 95 inch sun block],[black boho 95 inch sun blocking],[dark pink grommet 96 inch black out],[white boho 95 inch sun blocking],[black and white boho 95 inch sun blocking],[light teal grommet 96 inch black out]
[coastal 96 inch black out],[grayish grommet 96 inch sun block],[gold grommet 96 inch sun block],[navy boho 96 inch black out],[bluish grommet 96 inch black out],[light gray grommet 96 inch sun block],[dark grey grommet 96 inch sun block],[burlap grommet 95 inch sun blocking],[natural grommet 95 inch sun blocking],[black boho 96 inch black out],[pink grommet 96 inch sun block],[white boho 96 inch black out],[black and white boho 96 inch black out],[teal grommet 96 inch sun block]
[coastal 96 inch sun block],[grey grommet 96 inch sun block],[yellow grommet 96 inch sun block],[navy boho 96 inch sun block],[blue grommet 96 inch black out],[silver grommet 96 inch sun block],[charcoal grommet 96 inch sun block],[sand grommet 95 inch sun blocking],[neutral grommet 95 inch sun blocking],[black boho 96 inch sun block],[light pink grommet 96 inch sun block],[white boho 96 inch sun block],[black and white boho 96 inch sun block],[dark teal grommet 96 inch sun block]
[coastal 96 inch sun blocking],[gray grommet 96 inch sun block],[mustard grommet 96 inch sun block],[navy boho 96 inch sun blocking],[indigo grommet 96 inch black out],[light grey grommet 96 inch sun block],[black grey grommet 96 inch sun block],[taupe grommet 95 inch sun blocking],[greige grommet 95 inch sun blocking],[black boho 96 inch sun blocking],[dark pink grommet 96 inch sun block],[white boho 96 inch sun blocking],[black and white boho 96 inch sun blocking],[light teal grommet 96 inch sun block]
[coastal 97 inch black out],[grayish grommet 96 inch sun blocking],[gold grommet 96 inch sun blocking],[navy boho 97 inch black out],[denim grommet 96 inch black out],[light gray grommet 96 inch sun blocking],[dark grey grommet 96 inch sun blocking],[tan grommet 95 inch sun blocking],[ivory grommet 95 inch sun blocking],[black boho 97 inch black out],[pink grommet 96 inch sun blocking],[white boho 97 inch black out],[black and white boho 97 inch black out],[teal grommet 96 inch sun blocking]
[coastal 97 inch sun block],[grey grommet 96 inch sun blocking],[yellow grommet 96 inch sun blocking],[navy boho 97 inch sun block],[bluish grommet 96 inch sun block],[silver grommet 96 inch sun blocking],[charcoal grommet 96 inch sun blocking],[beige grommet 95 inch sun blocking],[cream grommet 95 inch sun blocking],[black boho 97 inch sun block],[light pink grommet 96 inch sun blocking],[white boho 97 inch sun block],[black and white boho 97 inch sun block],[dark teal grommet 96 inch sun blocking]
[coastal 97 inch sun blocking],[gray grommet 96 inch sun blocking],[mustard grommet 96 inch sun blocking],[navy boho 97 inch sun blocking],[blue grommet 96 inch sun block],[light grey grommet 96 inch sun blocking],[black grey grommet 96 inch sun blocking],[light brown grommet 95 inch sun blocking],[off white grommet 95 inch sun blocking],[black boho 97 inch sun blocking],[dark pink grommet 96 inch sun blocking],[white boho 97 inch sun blocking],[black and white boho 97 inch sun blocking],[light teal grommet 96 inch sun blocking]
[light blue boho 95 inch black out],[grayish grommet 97 inch black out],[gold grommet 97 inch black out],[navy bohemian 95 inch black out],[indigo grommet 96 inch sun block],[light gray grommet 97 inch black out],[dark grey grommet 97 inch black out],[burlap grommet 96 inch black out],[natural grommet 96 inch black out],[black bohemian 95 inch black out],[pink grommet 97 inch black out],[white bohemian 95 inch black out],[black and white bohemian 95 inch black out],[teal grommet 97 inch black out]
[light blue boho 95 inch sun block],[grey grommet 97 inch black out],[yellow grommet 97 inch black out],[navy bohemian 95 inch sun block],[denim grommet 96 inch sun block],[silver grommet 97 inch black out],[charcoal grommet 97 inch black out],[sand grommet 96 inch black out],[neutral grommet 96 inch black out],[black bohemian 95 inch sun block],[light pink grommet 97 inch black out],[white bohemian 95 inch sun block],[black and white bohemian 95 inch sun block],[dark teal grommet 97 inch black out]
[light blue boho 95 inch sun blocking],[gray grommet 97 inch black out],[mustard grommet 97 inch black out],[navy bohemian 95 inch sun blocking],[bluish grommet 96 inch sun blocking],[light grey grommet 97 inch black out],[black grey grommet 97 inch black out],[taupe grommet 96 inch black out],[greige grommet 96 inch black out],[black bohemian 95 inch sun blocking],[dark pink grommet 97 inch black out],[white bohemian 95 inch sun blocking],[black and white bohemian 95 inch sun blocking],[light teal grommet 97 inch black out]
[light blue boho 96 inch black out],[grayish grommet 97 inch sun block],[gold grommet 97 inch sun block],[navy bohemian 96 inch black out],[blue grommet 96 inch sun blocking],[light gray grommet 97 inch sun block],[dark grey grommet 97 inch sun block],[tan grommet 96 inch black out],[ivory grommet 96 inch black out],[black bohemian 96 inch black out],[pink grommet 97 inch sun block],[white bohemian 96 inch black out],[black and white bohemian 96 inch black out],[teal grommet 97 inch sun block]
[light blue boho 96 inch sun block],[grey grommet 97 inch sun block],[yellow grommet 97 inch sun block],[navy bohemian 96 inch sun block],[indigo grommet 96 inch sun blocking],[silver grommet 97 inch sun block],[charcoal grommet 97 inch sun block],[beige grommet 96 inch black out],[cream grommet 96 inch black out],[black bohemian 96 inch sun block],[light pink grommet 97 inch sun block],[white bohemian 96 inch sun block],[black and white bohemian 96 inch sun block],[dark teal grommet 97 inch sun block]
[light blue boho 96 inch sun blocking],[gray grommet 97 inch sun block],[mustard grommet 97 inch sun block],[navy bohemian 96 inch sun blocking],[denim grommet 96 inch sun blocking],[light grey grommet 97 inch sun block],[black grey grommet 97 inch sun block],[light brown grommet 96 inch black out],[off white grommet 96 inch black out],[black bohemian 96 inch sun blocking],[dark pink grommet 97 inch sun block],[white bohemian 96 inch sun blocking],[black and white bohemian 96 inch sun blocking],[light teal grommet 97 inch sun block]
[light blue boho 97 inch black out],[grayish grommet 97 inch sun blocking],[gold grommet 97 inch sun blocking],[navy bohemian 97 inch black out],[bluish grommet 97 inch black out],[light gray grommet 97 inch sun blocking],[dark grey grommet 97 inch sun blocking],[burlap grommet 96 inch sun block],[natural grommet 96 inch sun block],[black bohemian 97 inch black out],[pink grommet 97 inch sun blocking],[white bohemian 97 inch black out],[black and white bohemian 97 inch black out],[teal grommet 97 inch sun blocking]
[light blue boho 97 inch sun block],[grey grommet 97 inch sun blocking],[yellow grommet 97 inch sun blocking],[navy bohemian 97 inch sun block],[blue grommet 97 inch black out],[silver grommet 97 inch sun blocking],[charcoal grommet 97 inch sun blocking],[sand grommet 96 inch sun block],[neutral grommet 96 inch sun block],[black bohemian 97 inch sun block],[light pink grommet 97 inch sun blocking],[white bohemian 97 inch sun block],[black and white bohemian 97 inch sun block],[dark teal grommet 97 inch sun blocking]
