lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
[light blue grommet 107 inch black out],[grayish grommet 107 inch black out],[gold grommet 107 inch black out],[navy grommet 107 inch black out],[bluish grommet 107 inch black out],[light gray grommet 107 inch black out],[dark grey grommet 107 inch black out],[burlap grommet 107 inch black out],[natural grommet 107 inch black out],[black grommet 107 inch black out],[pink grommet 107 inch black out],[white grommet 107 inch black out],[black and white grommet 107 inch black out],[teal grommet 107 inch black out]
[light blue grommet 107 inch sun block],[grey grommet 107 inch black out],[yellow grommet 107 inch black out],[navy grommet 107 inch sun block],[blue grommet 107 inch black out],[silver grommet 107 inch black out],[charcoal grommet 107 inch black out],[sand grommet 107 inch black out],[neutral grommet 107 inch black out],[black grommet 107 inch sun block],[light pink grommet 107 inch black out],[white grommet 107 inch sun block],[black and white grommet 107 inch sun block],[dark teal grommet 107 inch black out]
[light blue grommet 107 inch sun blocking],[gray grommet 107 inch black out],[mustard grommet 107 inch black out],[navy grommet 107 inch sun blocking],[indigo grommet 107 inch black out],[light grey grommet 107 inch black out],[black grey grommet 107 inch black out],[taupe grommet 107 inch black out],[greige grommet 107 inch black out],[black grommet 107 inch sun blocking],[dark pink grommet 107 inch black out],[white grommet 107 inch sun blocking],[black and white grommet 107 inch sun blocking],[light teal grommet 107 inch black out]
[light blue grommet 108 inch black out],[grayish grommet 107 inch sun block],[gold grommet 107 inch sun block],[navy grommet 108 inch black out],[denim grommet 107 inch black out],[light gray grommet 107 inch sun block],[dark grey grommet 107 inch sun block],[tan grommet 107 inch black out],[ivory grommet 107 inch black out],[black grommet 108 inch black out],[pink grommet 107 inch sun block],[white grommet 108 inch black out],[black and white grommet 108 inch black out],[teal grommet 107 inch sun block]
[light blue grommet 108 inch sun block],[grey grommet 107 inch sun block],[yellow grommet 107 inch sun block],[navy grommet 108 inch sun block],[bluish grommet 107 inch sun block],[silver grommet 107 inch sun block],[charcoal grommet 107 inch sun block],[beige grommet 107 inch black out],[cream grommet 107 inch black out],[black grommet 108 inch sun block],[light pink grommet 107 inch sun block],[white grommet 108 inch sun block],[black and white grommet 108 inch sun block],[dark teal grommet 107 inch sun block]
[light blue grommet 108 inch sun blocking],[gray grommet 107 inch sun block],[mustard grommet 107 inch sun block],[navy grommet 108 inch sun blocking],[blue grommet 107 inch sun block],[light grey grommet 107 inch sun block],[black grey grommet 107 inch sun block],[light brown grommet 107 inch black out],[off white grommet 107 inch black out],[black grommet 108 inch sun blocking],[dark pink grommet 107 inch sun block],[white grommet 108 inch sun blocking],[black and white grommet 108 inch sun blocking],[light teal grommet 107 inch sun block]
[light blue grommet 109 inch black out],[grayish grommet 107 inch sun blocking],[gold grommet 107 inch sun blocking],[navy grommet 109 inch black out],[indigo grommet 107 inch sun block],[light gray grommet 107 inch sun blocking],[dark grey grommet 107 inch sun blocking],[burlap grommet 107 inch sun block],[natural grommet 107 inch sun block],[black grommet 109 inch black out],[pink grommet 107 inch sun blocking],[white grommet 109 inch black out],[black and white grommet 109 inch black out],[teal grommet 107 inch sun blocking]
[light blue grommet 109 inch sun block],[grey grommet 107 inch sun blocking],[yellow grommet 107 inch sun blocking],[navy grommet 109 inch sun block],[denim grommet 107 inch sun block],[silver grommet 107 inch sun blocking],[charcoal grommet 107 inch sun blocking],[sand grommet 107 inch sun block],[neutral grommet 107 inch sun block],[black grommet 109 inch sun block],[light pink grommet 107 inch sun blocking],[white grommet 109 inch sun block],[black and white grommet 109 inch sun block],[dark teal grommet 107 inch sun blocking]
[light blue grommet 109 inch sun blocking],[gray grommet 107 inch sun blocking],[mustard grommet 107 inch sun blocking],[navy grommet 109 inch sun blocking],[bluish grommet 107 inch sun blocking],[light grey grommet 107 inch sun blocking],[black grey grommet 107 inch sun blocking],[taupe grommet 107 inch sun block],[greige grommet 107 inch sun block],[black grommet 109 inch sun blocking],[dark pink grommet 107 inch sun blocking],[white grommet 109 inch sun blocking],[black and white grommet 109 inch sun blocking],[light teal grommet 107 inch sun blocking]
[light blue grommet 110 inch black out],[grayish grommet 108 inch black out],[gold grommet 108 inch black out],[navy grommet 110 inch black out],[blue grommet 107 inch sun blocking],[light gray grommet 108 inch black out],[dark grey grommet 108 inch black out],[tan grommet 107 inch sun block],[ivory grommet 107 inch sun block],[black grommet 110 inch black out],[pink grommet 108 inch black out],[white grommet 110 inch black out],[black and white grommet 110 inch black out],[teal grommet 108 inch black out]
